id,jdc,parish,age,conviction_date,charge,state_crime_id,charge_clean_full
66,1,CADDO,29,2018-07-24,RS 14:43 Simple (Third Degree) Rape,RS 14:43,Simple (Third Degree) Rape
67,1,CADDO,64,1997-03-20,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
68,1,CADDO,34,2013-05-14,RS 14.31 Manslaughter,RS 14.31,Manslaughter
69,1,CADDO,47,1999-06-23,RS 14:64 Armed Robbery / RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:64 / RS 14:27; RS 14:30.1,Armed Robbery / Attempt; Second Degree Murder
70,1,CADDO,65,1985-04-22,"RS 14:89.1 Aggravated Crime Against Nature / RS 14.42 Aggravated Rape, First Degree Rape / RS 14:64 Armed Robbery",RS 14:89.1 / RS 14.42 / RS 14:64,"Aggravated Crime Against Nature / Aggravated Rape, First Degree Rape / Armed Robbery"
71,1,CADDO,45,2000-05-24,RS 14:27 Attempt; RS 14:34 Armed Robbery,RS 14:27; RS 14:34,Attempt; Armed Robbery
72,1,CADDO,53,1993-08-14,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
73,1,CADDO,56,1995-06-29,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder / RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1 / RS 14:30.1,Attempt; Second Degree Murder / Second Degree Murder
74,1,CADDO,46,2004-01-16,RS 14.31 Manslaughter,RS 14.31,Manslaughter
75,1,CADDO,55,2004-12-03,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
76,1,CADDO,48,2002-08-29,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
77,1,CADDO,73,1980-10-16,"RS 14.42 Aggravated Rape, First Degree Rape / RS 14.27 Attempt; RS 14:30 First Degree",RS 14.42 / RS 14.27; RS 14:30,"Aggravated Rape, First Degree Rape / Attempt; First Degree"
78,1,CADDO,49,2004-09-29,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
79,1,CADDO,65,1984-09-01,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
80,1,CADDO,29,2018-01-12,RS 14.31 Manslaughter,RS 14.31,Manslaughter
81,1,CADDO,44,2005-10-12,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
82,1,CADDO,,1987-01-23,"RS 14:60 Aggravated Burglary / RS 14.42 Aggravated Rape, First Degree Rape",RS 14:60 / RS 14.42,"Aggravated Burglary / Aggravated Rape, First Degree Rape"
83,1,CADDO,37,2010-11-18,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
84,1,CADDO,70,2004-09-16,RS 14:81.2 Molestation Of A Juvenile,RS 14:81.2,Molestation Of A Juvenile
85,1,CADDO,42,2004-06-25,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
86,1,CADDO,,1980-05-08,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
87,1,CADDO,45,2005-01-11,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
88,1,CADDO,53,2004-07-02,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
89,2,BIENVILLE,85,1997-09-17,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
90,2,BIENVILLE,40,1988-09-21,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
91,2,BIENVILLE,46,2006-01-26,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
92,2,BIENVILLE,52,2003-03-20,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
93,2,BIENVILLE,44,2011-09-01,RS 14:37 Aggravated Assault / RS 14:44.1 Second Degree Kidnapping,RS 14:37 / RS 14:44.1,Aggravated Assault / Second Degree Kidnapping
94,2,CLAIBORNE,66,1996-02-22,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
95,2,JACKSON,48,2005-09-22,RS 14:60 Aggravated Burglary,RS 14:60,Aggravated Burglary
96,3,LINCOLN,60,1991-02-08,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
97,3,LINCOLN,66,1992-12-11,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
98,3,LINCOLN,70,2006-03-02,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
99,3,LINCOLN,48,1990-03-20,"RS 14:98.4. Operating While Intoxicated, Fourth Offense",RS 14:98.4.,"Operating While Intoxicated, Fourth Offense"
100,3,UNION,60,1994-10-20,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
101,3,UNION,,2017-04-26,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
102,4,MOREHOUSE,54,1997-05-16,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
103,4,MOREHOUSE,55,1994-05-13,RS 14.27 Attempt; RS 14.42 Aggravated Rape,RS 14.27; RS 14.42,Attempt; Aggravated Rape
104,4,MOREHOUSE,71,2012-03-14,"RS 14.42 Aggravated Rape, First Degree Rape / RS 14:64 Armed Robbery",RS 14.42 / RS 14:64,"Aggravated Rape, First Degree Rape / Armed Robbery"
105,4,MOREHOUSE,45,2009-06-26,RS 14:34 Aggravated Battery / RS 14:95.1 Felon In Possession Of A Firearm,RS 14:34 / RS 14:95.1,Aggravated Battery / Felon In Possession Of A Firearm
106,4,MOREHOUSE,74,2004-01-30,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder / RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1 / RS 14:30.1,Attempt; Second Degree Murder / Second Degree Murder
107,4,MOREHOUSE,48,1998-02-03,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
108,4,MOREHOUSE,45,1994-11-04,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
109,4,MOREHOUSE,,1987-01-13,"RS 14:89.1 Aggravated Crime Against Nature / RS 14.42 Aggravated Rape, First Degree Rape",RS 14:89.1 / RS 14.42,"Aggravated Crime Against Nature / Aggravated Rape, First Degree Rape"
110,4,OUACHITA,53,2003-11-03,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
111,4,OUACHITA,47,2015-03-05,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
112,4,OUACHITA,73,2012-03-19,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
113,4,OUACHITA,45,2010-03-01,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
114,4,OUACHITA,49,2012-05-21,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
115,4,OUACHITA,48,2011-10-20,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
116,4,OUACHITA,52,2011-09-18,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
117,4,OUACHITA,67,1992-01-18,RS 14:89.1(A)(2)(a) Aggravated Incest,RS 14:89.1(A)(2)(a),Aggravated Incest
118,4,OUACHITA,55,2006-04-21,RS 40:967 Possession With Intent To Distribute Schedule II,RS 40:967,Possession With Intent To Distribute Schedule II
119,4,OUACHITA,53,2005-07-21,RS 14:27 Attempt; RS 14:34 Armed Robbery / RS 14:95.1 Felon In Possession Of A Firearm / RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:34 / RS 14:95.1 / RS 14:30.1,Attempt; Armed Robbery / Felon In Possession Of A Firearm / Second Degree Murder
