id,sentence_id,jdc,parish,age,conviction_date,charge,state_crime_id,charge_clean_full
34,1,1,CADDO,50,1999-06-23,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
34,2,1,CADDO,50,1999-06-23,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1,Attempt; Second Degree Murder
35,1,1,CADDO,45,2012-12-05,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
36,1,1,CADDO,47,2005-01-13,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
37,1,1,CADDO,34,2016-01-28,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
37,2,1,CADDO,34,2016-01-28,RS 14:81.2 Molestation Of A Juvenile,RS 14:81.2,Molestation Of A Juvenile
38,1,1,CADDO,52,2013-01-16,RS 14:108.1. Flight From An Officer; Aggravated Flight From An Officer,RS 14:108.1.,Flight From An Officer; Aggravated Flight From An Officer
39,1,1,CADDO,53,2003-04-04,RS 14.31 Manslaughter,RS 14.31,Manslaughter
40,1,1,CADDO,40,2017-05-04,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
41,1,1,CADDO,59,1996-03-01,RS 14:64.1 First Degree Robbery,RS 14:64.1,First Degree Robbery
42,1,1,CADDO,67,1991-12-07,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
43,1,1,CADDO,53,1992-02-03,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
44,1,1,CADDO,36,2010-02-16,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
45,1,1,CADDO,65,1991-05-02,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
46,1,1,CADDO,48,2008-10-15,RS 14:64.4 Second Degree Robbery,RS 14:64.4,Second Degree Robbery
47,1,1,CADDO,64,2014-09-23,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
48,1,1,CADDO,54,2006-10-20,"RS 14:42.1 Second Degree Rape, Forcible Rape",RS 14:42.1,"Second Degree Rape, Forcible Rape"
49,1,1,CADDO,47,1998-06-18,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
49,2,1,CADDO,47,1998-06-18,RS 14:44.1 Second Degree Kidnapping,RS 14:44.1,Second Degree Kidnapping
50,1,1,CADDO,60,2005-06-24,RS 14:60 Aggravated Burglary,RS 14:60,Aggravated Burglary
